id,project_id,title,status,priority,client_visible,assignee_id,assignee_name,assignee_email,created_at,description
tsk_00001,prj_069,Trip none whose newspaper care drug data,in_progress,high,False,usr_0207,Stacey Arias,gbrown@example.com,2026-04-23T08:04:16.826954,Begin right couple environmental purpose owner. Could seven right next.
tsk_00002,prj_032,Decade trade field,in_progress,medium,False,usr_0219,Chad Baldwin,mjohnson@example.org,2026-07-28T03:13:39.754966,While bring yourself look drug. Region however dream focus executive letter possible final.
tsk_00003,prj_049,Mention market better wonder light,todo,high,True,usr_0157,Brianna Anderson,lauren10@example.org,2026-07-02T20:05:06.207573,Fine animal ten scientist administration network.
tsk_00004,prj_046,Often individual charge form here street,in_progress,high,False,usr_0055,Victoria Johnson,yreed@example.com,2026-02-28T11:57:36.063537,Shake major rich science leave. College result major true my politics. Model stuff avoid stand.
tsk_00005,prj_067,Share include,todo,high,False,usr_0003,Cristian Santos,lrobinson@example.com,2026-07-03T20:44:52.197052,Religious across media health. Point value tree process administration mother in admit.
tsk_00006,prj_031,Movie expert maybe recently issue vote conference,in_progress,high,False,usr_0195,Nathaniel Douglas,mathewaguilar@example.org,2026-07-31T10:35:56.019698,Drive people education great.
tsk_00007,prj_038,Bad where learn during,in_progress,medium,False,usr_0024,Jessica Holmes,wrightcaleb@example.org,2026-05-11T19:00:33.356739,President teach service behavior.
tsk_00008,prj_068,Help live PM reflect bar,in_progress,high,False,usr_0142,Richard Johnson,jessica14@example.com,2026-07-04T21:09:40.159243,With wind thus try discover top realize. Little another avoid understand tonight nor allow.
tsk_00009,prj_059,Administration debate certain star start,in_progress,medium,True,usr_0180,Mary Gomez,chensley@example.com,2026-08-04T09:29:52.266590,Nor note support quality.
tsk_00010,prj_069,Forward sense cause write right may window approach join stuff,todo,medium,False,usr_0031,Angela Morton,williamsyvette@example.org,2026-01-01T12:45:26.384030,However similar ahead event yeah make green wait. Control one herself sign far east.
tsk_00011,prj_068,Bank child Republican plant,in_progress,low,True,usr_0186,Craig Morrison,thompsonkendra@example.com,2026-05-27T06:50:37.685238,Blood accept final growth especially car. Issue news mention billion.
tsk_00012,prj_047,Government behavior,in_progress,high,True,usr_0059,Erika Terry,jamesortega@example.com,2026-04-05T13:30:41.243431,Activity including single right nice yeah. Occur college herself catch feeling.
tsk_00013,prj_007,Certainly cold every feel site guess want result,in_progress,urgent,False,usr_0012,Jennifer Rocha,ithomas@example.org,2026-02-27T05:17:17.603820,Leader career according how success.
tsk_00014,prj_002,Sound forget friend spring teacher wind carry,in_progress,medium,False,usr_0224,Samantha Gardner,curtis54@example.com,2025-12-25T06:04:36.652571,Fire who why fact reason make office.
tsk_00015,prj_007,For exactly skill half,done,medium,True,usr_0248,Kayla Rodriguez,stevenadams@example.org,2026-08-05T13:28:48.068505,Young conference should agree road wall decide something.
tsk_00016,prj_010,Standard somebody important material,in_review,low,True,usr_0126,Matthew Hoover,tylerjohnson@example.net,2026-04-18T10:52:29.202636,Probably resource smile available wrong. Old move type thank industry already why.
tsk_00017,prj_039,Order trial body,done,low,False,usr_0243,Matthew Le,megan90@example.org,2025-11-28T19:08:10.150863,Positive and worker quality. Whom former someone black better develop. Newspaper reach determine hear leg quickly real.
tsk_00018,prj_029,General agency bit indeed which,in_progress,urgent,False,usr_0153,Michael Stephens,bruce43@example.org,2025-10-11T12:38:20.455666,Find lay deal lot live just. Five feel special boy support possible quality.
tsk_00019,prj_040,Upon scientist might necessary former,in_review,medium,True,usr_0110,Kathryn Snyder,georgepamela@example.net,2026-02-01T20:39:17.077432,Something picture control price how.
tsk_00020,prj_028,Third last involve above Democrat everything,in_review,medium,True,usr_0161,Judith Maynard,lutzmelanie@example.com,2026-05-14T04:11:31.427954,Big the cost for leader energy television. Whole finish home hotel box goal leader.
tsk_00021,prj_021,Sport relationship,in_progress,high,False,usr_0020,Linda Burns,hickmannatasha@example.com,2025-12-16T18:31:59.123171,Be care brother figure consumer really memory industry. Offer institution main Mr.
tsk_00022,prj_030,Never majority cell fire,in_review,high,False,usr_0009,Daniel Adams,lynchgeorge@example.net,2026-02-10T20:34:09.569596,Weight machine crime himself no president.
tsk_00023,prj_030,Range indeed style major bar,done,medium,True,usr_0176,Lawrence Perry,kariwilson@example.com,2025-09-10T09:43:14.140750,Allow different eye sit not.
tsk_00024,prj_070,Near both box simple,in_review,urgent,True,usr_0030,Connor West,dwhite@example.org,2026-06-26T19:54:09.225318,State among rest national wrong bill stop.
tsk_00025,prj_022,Fear yourself last give,in_review,high,False,usr_0016,Tricia Valencia,frazierdanny@example.net,2026-06-24T10:26:59.344173,Simply down specific onto. Technology particular into pattern size spend.
tsk_00026,prj_060,Now mother others collection without,in_progress,medium,False,usr_0032,Tammy Allison,richardolson@example.com,2025-12-15T00:22:06.906829,Weight method too spring career. Try yeah term camera tend economic. Stock seven put majority officer environmental.
